,Model,Predictive Accuracy,Participant Data,Params
415,CPT,0.5870215671563437,908986223_20220622.csv,
416,MEU,0.5306187144558384,908986223_20220622.csv,
417,BVAE,0.4971383015576879,908986223_20220622.csv,0.0
418,CNN,0.5303134601244013,908986223_20220622.csv,0.0
419,Sparse,0.513159931485778,908986223_20220622.csv,0.0
420,CPT,0.5617790680958721,9162481065_20220607.csv,
421,MEU,0.5069154308630207,9162481065_20220607.csv,
422,BVAE,0.5572929719190208,9162481065_20220607.csv,0.0
423,CNN,0.5467245258975874,9162481065_20220607.csv,0.0
424,Sparse,0.46072846838277354,9162481065_20220607.csv,0.0
425,CPT,0.7225952663857891,9177013872_20220518.csv,
426,MEU,0.5184007387090912,9177013872_20220518.csv,
427,BVAE,0.5646189444890887,9177013872_20220518.csv,0.0
428,CNN,0.6599581779944027,9177013872_20220518.csv,0.0
429,Sparse,0.38394550215015927,9177013872_20220518.csv,0.0
430,CPT,0.5154488279695839,9195187466_20220607.csv,
431,MEU,0.5025851185689865,9195187466_20220607.csv,
432,BVAE,0.5063009233776509,9195187466_20220607.csv,0.0
433,CNN,0.4981485246236146,9195187466_20220607.csv,0.0
434,Sparse,0.503669950802741,9195187466_20220607.csv,0.0
435,CPT,0.501319958004835,9262283903_20220623.csv,
436,MEU,0.5017316320216041,9262283903_20220623.csv,
437,BVAE,0.5006048726955982,9262283903_20220623.csv,0.0
438,CNN,0.5031172984336816,9262283903_20220623.csv,0.0
439,Sparse,0.507002086392016,9262283903_20220623.csv,0.0
440,CPT,0.5005903543670269,934906418_20220623.csv,
441,MEU,0.5005804154228632,934906418_20220623.csv,
442,BVAE,0.501551428601601,934906418_20220623.csv,0.0
443,CNN,0.5061318683602343,934906418_20220623.csv,0.0
444,Sparse,0.5002559052548312,934906418_20220623.csv,0.0
445,CPT,0.5001999452341704,9410194125_20220623.csv,
446,MEU,0.5007482353809921,9410194125_20220623.csv,
447,BVAE,0.4996282329203782,9410194125_20220623.csv,0.0
448,CNN,0.5016744937479971,9410194125_20220623.csv,0.0
449,Sparse,0.5008167458191509,9410194125_20220623.csv,0.0
450,CPT,0.8518564376162099,9412783563_20220607.csv,
451,MEU,0.5000000576023391,9412783563_20220607.csv,
452,BVAE,0.8164135321414662,9412783563_20220607.csv,0.0
453,CNN,0.5814889279812807,9412783563_20220607.csv,0.0
454,Sparse,0.5454677058644231,9412783563_20220607.csv,0.0
455,CPT,0.9380275580862597,9796178986_20220623.csv,
456,MEU,0.5024802346084237,9796178986_20220623.csv,
457,BVAE,0.7557643302718882,9796178986_20220623.csv,0.0
458,CNN,0.6138844278397175,9796178986_20220623.csv,0.0
459,Sparse,0.3547873512009246,9796178986_20220623.csv,0.0
460,CPT,0.7192053092702799,9824877929_20220518.csv,
461,MEU,0.534384942099251,9824877929_20220518.csv,
